,title,rating,format,genre
648,보스의 노골적 취향,9.77,0,0
649,보에,9.65,0,8
650,보톡스,9.22,0,0
651,보통아이,9.81,0,5
652,복수를 위한 결혼동맹,9.94,0,0
653,복학생 정순이,9.96,0,2
654,복학왕,9.06,0,2
655,본투비갓,9.91,0,1
656,봄이여 오라,9.93,0,2
657,봉봉오쇼콜라,9.89,0,2
658,봉이 김선달,9.82,0,9
659,봐선 안되는 것,9.83,1,5
660,부로콜리왕자,9.97,0,4
661,부부생활,9.94,2,7
662,부캐인생,9.72,0,2
663,부토,9.92,2,7
664,부활남,9.51,0,6
665,북경신보,9.83,2,8
666,북부 공작님을 유혹하겠습니다,9.96,0,0
667,분당구의 용사 지망생,8.82,0,4
668,불괴,9.4,2,6
669,불량 뱀파이어,9.16,0,1
670,불릿 6미리,9.89,0,3
671,불만시대,9.78,0,2
672,불발소년,9.89,2,2
673,불순물,9.85,0,5
674,불어오는 밤,9.74,0,0
675,불지옥 로맨스,9.92,0,0
676,불쾌한 골짜기,8.98,0,5
677,불티,9.66,0,5
678,불편한 관계,9.97,0,0
679,붉은 실,9.94,0,1
680,붉은 이정표,9.83,0,6
681,뷰티풀 군바리,9.8,0,2
682,뷰티플 게임,9.58,0,3
683,브랜든,9.88,0,2
684,블라인드 메르헨,9.79,0,0
685,블랙 위도우,9.88,0,6
686,블랙수트,9.67,0,2
687,블랙시저스,9.95,0,1
688,블랙엔젤,9.63,0,5
689,블랙홀과 3만원,9.93,0,4
690,블러드 리벤저,9.67,0,1
691,블러드레인,9.88,0,6
692,블러드레인2: 천외천,9.22,0,6
693,블루투스,7.29,0,1
694,비둘기가 물고 온 남자,9.87,0,2
695,비밀상자,9.85,0,2
696,비바 산티아고,9.83,0,7
697,비스타,7.07,0,2
698,비스트사인,8.26,0,1
699,비인간,9.92,0,2
700,비즈니스 여친,9.8,2,0
701,비질란테,9.98,0,6
702,비타운,8.29,0,2
703,비흔,9.94,0,9
704,빅맨,9.69,0,3
705,빌드업,9.79,0,3
706,빌런투킬,9.89,0,1
707,빙의,9.97,0,5
708,빙탕후루,9.96,2,1
709,빛빛빛,9.96,0,0
710,빨간맛 로맨스,9.96,0,0
711,빨간책,9.78,2,5
712,빨강,9.79,0,0
713,빨리감기,9.91,0,5
714,빵점동맹,9.55,0,2
715,사공은주,9.73,0,5
716,사냥개들,9.78,0,6
717,사노라면,9.77,1,2
718,사또(Satto),9.8,0,1
719,사라지다,9.92,0,0
720,사람은 고쳐 쓰는 게 아니...,9.93,0,1
721,사람의 조각,9.93,0,5
722,사랑in,9.51,1,0
723,사랑과 평강의 온달!,9.96,0,0
724,사랑을 연기하다,9.69,0,2
725,사랑의 새싹약국,9.92,0,0
726,사랑의 아쿠아리움,9.95,0,2
727,사랑의 외계인,9.95,0,2
728,사랑의 헌옷수거함,9.96,0,0
729,사랑일까?,9.93,0,0
730,사랑하는 여배우들,9.88,0,0
731,사막에 핀 달,9.8,0,9
732,사상최강,9.88,0,1
733,사생활 체크,9.67,0,2
734,사서고생!,9.93,2,2
735,사소한 냐냐,9.86,2,7
736,사신소년,9.92,0,6
737,사실 마법이었던 거임,9.93,0,4
738,사심폭발 로망스,9.64,0,0
739,사우러스,9.84,0,1
740,사이드킥,9.93,0,1
741,사이드킥 2~3,9.97,0,1
742,사장님을 잠금해제,9.94,0,4
743,사파리 로맨스,9.62,0,0
744,사형소년,9.56,0,5
745,산신의 주인입니다,9.85,0,0
746,산의 시간,9.8,0,2
747,살人스타그램,9.61,1,5
748,살고 싶어? 그럼 키스해,9.59,0,0
749,살아간다,8.64,0,6
750,살아남은 로맨스,9.98,0,1
751,살의,9.7,0,5
752,살인자o난감,9.97,2,5
